,FIPS_FULL,FIPS,COUNTY,STATE
0,FIPS,PS,Name,State
1,01001,001,Autauga,AL
2,01003,003,Baldwin,AL
3,01005,005,Barbour,AL
4,01007,007,Bibb,AL
5,01009,009,Blount,AL
6,01011,011,Bullock,AL
7,01013,013,Butler,AL
8,01015,015,Calhoun,AL
9,01017,017,Chambers,AL
10,01019,019,Cherokee,AL
11,01021,021,Chilton,AL
12,01023,023,Choctaw,AL
13,01025,025,Clarke,AL
14,01027,027,Clay,AL
15,01029,029,Cleburne,AL
16,01031,031,Coffee,AL
17,01033,033,Colbert,AL
18,01035,035,Conecuh,AL
19,01037,037,Coosa,AL
20,01039,039,Covington,AL
21,01041,041,Crenshaw,AL
22,01043,043,Cullman,AL
23,01045,045,Dale,AL
24,01047,047,Dallas,AL
25,01049,049,De Kalb,AL
26,01051,051,Elmore,AL
27,01053,053,Escambia,AL
28,01055,055,Etowah,AL
29,01057,057,Fayette,AL
30,01059,059,Franklin,AL
31,01061,061,Geneva,AL
32,01063,063,Greene,AL
33,01065,065,Hale,AL
34,01067,067,Henry,AL
35,01069,069,Houston,AL
36,01071,071,Jackson,AL
37,01073,073,Jefferson,AL
38,01075,075,Lamar,AL
39,01077,077,Lauderdale,AL
40,01079,079,Lawrence,AL
41,01081,081,Lee,AL
42,01083,083,Limestone,AL
43,01085,085,Lowndes,AL
44,01087,087,Macon,AL
45,01089,089,Madison,AL
46,01091,091,Marengo,AL
47,01093,093,Marion,AL
48,01095,095,Marshall,AL
49,01097,097,Mobile,AL
50,01099,099,Monroe,AL
51,01101,101,Montgomery,AL
52,01103,103,Morgan,AL
53,01105,105,Perry,AL
54,01107,107,Pickens,AL
55,01109,109,Pike,AL
56,01111,111,Randolph,AL
57,01113,113,Russell,AL
58,01115,115,St Clair,AL
59,01117,117,Shelby,AL
60,01119,119,Sumter,AL
61,01121,121,Talladega,AL
62,01123,123,Tallapoosa,AL
63,01125,125,Tuscaloosa,AL
64,01127,127,Walker,AL
65,01129,129,Washington,AL
66,01131,131,Wilcox,AL
67,01133,133,Winston,AL
68,02013,013,Aleutians East,AK
69,02016,016,Aleutians West,AK
70,02020,020,Anchorage,AK
71,02050,050,Bethel,AK
72,02060,060,Bristol Bay,AK
73,02068,068,Denali,AK
74,02070,070,Dillingham,AK
75,02090,090,Fairbanks North Star,AK
76,02100,100,Haines,AK
77,02110,110,Juneau,AK
78,02122,122,Kenai Peninsula,AK
79,02130,130,Ketchikan Gateway,AK
80,02150,150,Kodiak Island,AK
81,02164,164,Lake and Peninsula,AK
82,02170,170,Matanuska-Susitna,AK
83,02180,180,Nome,AK
84,02185,185,North Slope,AK
85,02188,188,Northwest Arctic,AK
86,02201,201,Prince of Wales-Outer Ketchikan,AK
87,02220,220,Sitka,AK
88,02232,232,Skagway-Hoonah-Angoon,AK
89,02240,240,Southeast Fairbanks,AK
90,02261,261,Valdez-Cordova,AK
91,02270,270,Wade Hampton,AK
92,02280,280,Wrangell-Petersburg,AK
93,02282,282,Yakutat,AK
94,02290,290,Yukon-Koyukuk,AK
95,04001,001,Apache,AZ
96,04003,003,Cochise,AZ
97,04005,005,Coconino,AZ
98,04007,007,Gila,AZ
99,04009,009,Graham,AZ
100,04011,011,Greenlee,AZ
101,04012,012,La Paz,AZ
102,04013,013,Maricopa,AZ
103,04015,015,Mohave,AZ
104,04017,017,Navajo,AZ
105,04019,019,Pima,AZ
106,04021,021,Pinal,AZ
107,04023,023,Santa Cruz,AZ
108,04025,025,Yavapai,AZ
109,04027,027,Yuma,AZ
110,05001,001,Arkansas,AR
111,05003,003,Ashley,AR
112,05005,005,Baxter,AR
113,05007,007,Benton,AR
114,05009,009,Boone,AR
115,05011,011,Bradley,AR
116,05013,013,Calhoun,AR
117,05015,015,Carroll,AR
118,05017,017,Chicot,AR
119,05019,019,Clark,AR
120,05021,021,Clay,AR
121,05023,023,Cleburne,AR
122,05025,025,Cleveland,AR
123,05027,027,Columbia,AR
124,05029,029,Conway,AR
125,05031,031,Craighead,AR
126,05033,033,Crawford,AR
127,05035,035,Crittenden,AR
128,05037,037,Cross,AR
129,05039,039,Dallas,AR
130,05041,041,Desha,AR
131,05043,043,Drew,AR
132,05045,045,Faulkner,AR
133,05047,047,Franklin,AR
134,05049,049,Fulton,AR
135,05051,051,Garland,AR
136,05053,053,Grant,AR
137,05055,055,Greene,AR
138,05057,057,Hempstead,AR
139,05059,059,Hot Spring,AR
140,05061,061,Howard,AR
141,05063,063,Independence,AR
142,05065,065,Izard,AR
143,05067,067,Jackson,AR
144,05069,069,Jefferson,AR
145,05071,071,Johnson,AR
146,05073,073,Lafayette,AR
147,05075,075,Lawrence,AR
148,05077,077,Lee,AR
149,05079,079,Lincoln,AR
150,05081,081,Little River,AR
151,05083,083,Logan,AR
152,05085,085,Lonoke,AR
153,05087,087,Madison,AR
154,05089,089,Marion,AR
155,05091,091,Miller,AR
156,05093,093,Mississippi,AR
157,05095,095,Monroe,AR
158,05097,097,Montgomery,AR
159,05099,099,Nevada,AR
160,05101,101,Newton,AR
161,05103,103,Ouachita,AR
162,05105,105,Perry,AR
163,05107,107,Phillips,AR
164,05109,109,Pike,AR
165,05111,111,Poinsett,AR
166,05113,113,Polk,AR
167,05115,115,Pope,AR
168,05117,117,Prairie,AR
169,05119,119,Pulaski,AR
170,05121,121,Randolph,AR
171,05123,123,St Francis,AR
172,05125,125,Saline,AR
173,05127,127,Scott,AR
174,05129,129,Searcy,AR
175,05131,131,Sebastian,AR
176,05133,133,Sevier,AR
177,05135,135,Sharp,AR
178,05137,137,Stone,AR
179,05139,139,Union,AR
180,05141,141,Van Buren,AR
181,05143,143,Washington,AR
182,05145,145,White,AR
183,05147,147,Woodruff,AR
184,05149,149,Yell,AR
185,06001,001,Alameda,CA
186,06003,003,Alpine,CA
187,06005,005,Amador,CA
188,06007,007,Butte,CA
189,06009,009,Calaveras,CA
190,06011,011,Colusa,CA
191,06013,013,Contra Costa,CA
192,06015,015,Del Norte,CA
193,06017,017,El Dorado,CA
194,06019,019,Fresno,CA
195,06021,021,Glenn,CA
196,06023,023,Humboldt,CA
197,06025,025,Imperial,CA
198,06027,027,Inyo,CA
199,06029,029,Kern,CA
200,06031,031,Kings,CA
201,06033,033,Lake,CA
202,06035,035,Lassen,CA
203,06037,037,Los Angeles,CA
204,06039,039,Madera,CA
205,06041,041,Marin,CA
206,06043,043,Mariposa,CA
207,06045,045,Mendocino,CA
208,06047,047,Merced,CA
209,06049,049,Modoc,CA
210,06051,051,Mono,CA
211,06053,053,Monterey,CA
212,06055,055,Napa,CA
213,06057,057,Nevada,CA
214,06059,059,Orange,CA
215,06061,061,Placer,CA
216,06063,063,Plumas,CA
217,06065,065,Riverside,CA
218,06067,067,Sacramento,CA
219,06069,069,San Benito,CA
220,06071,071,San Bernardino,CA
221,06073,073,San Diego,CA
222,06075,075,San Francisco,CA
223,06077,077,San Joaquin,CA
224,06079,079,San Luis Obispo,CA
225,06081,081,San Mateo,CA
226,06083,083,Santa Barbara,CA
227,06085,085,Santa Clara,CA
228,06087,087,Santa Cruz,CA
229,06089,089,Shasta,CA
230,06091,091,Sierra,CA
231,06093,093,Siskiyou,CA
232,06095,095,Solano,CA
233,06097,097,Sonoma,CA
234,06099,099,Stanislaus,CA
235,06101,101,Sutter,CA
236,06103,103,Tehama,CA
237,06105,105,Trinity,CA
238,06107,107,Tulare,CA
239,06109,109,Tuolumne,CA
240,06111,111,Ventura,CA
241,06113,113,Yolo,CA
242,06115,115,Yuba,CA
243,08001,001,Adams,CO
244,08003,003,Alamosa,CO
245,08005,005,Arapahoe,CO
246,08007,007,Archuleta,CO
247,08009,009,Baca,CO
248,08011,011,Bent,CO
249,08013,013,Boulder,CO
250,08015,015,Chaffee,CO
251,08017,017,Cheyenne,CO
252,08019,019,Clear Creek,CO
253,08021,021,Conejos,CO
254,08023,023,Costilla,CO
255,08025,025,Crowley,CO
256,08027,027,Custer,CO
257,08029,029,Delta,CO
258,08031,031,Denver,CO
259,08033,033,Dolores,CO
260,08035,035,Douglas,CO
261,08037,037,Eagle,CO
262,08039,039,Elbert,CO
263,08041,041,El Paso,CO
